name,city,state,lat,lng
Virginia Beach/S. Military Hwy,Virginia Beach,VA,36.8199,-76.2117
Newport News/Jeffersn&Shield-K,Newport News,VA,37.1623,-76.5364
Virginia Beach/Virginia Bch Bl,Virginia Beach,VA,36.8514,-76.1736
Virginia Beach/Shore&Greenwell,Virginia Beach,VA,36.9035,-76.1272
Chesapeake/ Greenbrier Parkway,Chesapeake,VA,36.7651,-76.2268
Leesburg/Lawson Rd & Trailview,Leesburg,VA,39.1033,-77.5437
Dale City/Minnieville &Dale Bl,Dale City,VA,38.6447,-77.3383
Gainesville/Lee Hwy &Webb Dr-K,Gainesville,VA,38.7927,-77.6216
Charlottesville/Seminole Trail,Charlottesville,VA,38.0812,-78.4762
Virginia Beach / Laskin Rd -K,Virginia Beach,VA,36.8479,-76.0272
Virginia Beach / Buckner Blvd,Virginia Beach,VA,36.7912,-76.0821
Virginia Beach/Princess Anne-K,Virginia Beach,VA,36.8006,-76.1289
Chesapeake/Cedar&Las Graviotas,Chesapeake,VA,36.7198,-76.2854
Petersburg / S. Crater Road,Petersburg,VA,37.1905,-77.3737
Prince George / Temple Hwy 144,Prince George,VA,37.253,-77.3651
Richmond/JeffrsnDavsHwy&Dundas,Richmond,VA,37.428,-77.4407
McLean/Old Meadow &Doly Madson,McLean,VA,38.9212,-77.2115
Burke / Burke Centre Pkwy,Burke,VA,38.7995,-77.3158
Alexandria/Fordson &Beechcraft,Alexandria,VA,38.7542,-77.0854
Springfield/Fullerton&Backlick,Springfield,VA,38.7468,-77.1907
Lorton/Telegraph &Fairfax Pkwy,Lorton,VA,38.7264,-77.1823
Alexandria/ Mt. Vernon & US 1,Alexandria,VA,38.7622,-77.0857
Bellingham / E McLeod Rd,Bellingham,WA,48.7827,-122.479
Everett/Everegreen Way & 100th,Everett,WA,47.9088,-122.243
Tacoma/ N Mildred St / 6th Ave,Tacoma,WA,47.2578,-122.526
Edmonds,Edmonds,WA,47.7942,-122.336
Kirkland 124th - K,Kirkland,WA,47.7088,-122.174
Woodinville / Woodinville Way,Woodinville,WA,47.7648,-122.145
Burien / Normandy Park,Burien,WA,47.4431,-122.327
Sea Tac / Airport South,Burien,WA,47.4404,-122.326
Renton/ E Valley Rd/SW 19th St,Renton,WA,47.4597,-122.219
Puyallup/ Hwy 512 / Canyon Rd,Puyallup,WA,47.1568,-122.356
Puyallup / South Hill Mall,Puyallup,WA,47.1534,-122.291
Queen Anne / 15th Ave,Seattle,WA,47.6472,-122.376
Kennydale,Renton,WA,47.5347,-122.195
Bellevue / South Downtown,Bellevue,WA,47.5993,-122.183
Factoria Square,Bellevue,WA,47.5735,-122.175
Auburn/Emerald Dwns/16th St NW,Auburn,WA,47.3218,-122.231
East Bremerton,Bremerton,WA,47.6071,-122.624
Port Orchard,Port Orchard,WA,47.534,-122.623
West Seattle / Avalon,Seattle,WA,47.5689,-122.371
Vancouver / Salmon Creek,Vancouver,WA,45.7178,-122.656
West Bremerton,Bremerton,WA,47.5594,-122.674
S Kent Kangley Rd / 132 Ave SE,Kent,WA,47.3561,-122.167
Lacey/Martin Way E/Marvin Rd-K,Lacey,WA,47.057,-122.767
Lynnwood/ Hwy 99 & 189th St SW,Lynnwood,WA,47.8269,-122.311
Parkland/ Hwy512/Pacific Ave S,Tacoma,WA,47.1576,-122.431
Lake Union,Seattle,WA,47.6257,-122.334
Bellevue / 124th,Bellevue,WA,47.6285,-122.176
Gig Harbor/Olympic/SoundviewDr,Gig Harbor,WA,47.3121,-122.581
Seattle /Ballinger Way & 205th,Shoreline,WA,47.7747,-122.311
Mahopac / Rte 6,Mahopac,NY,41.3584,-73.7478
Portland/Barbur Bl&Capitol Hwy,Portland,OR,45.4515,-122.727
Danbury / Mill Plain Rd,Danbury,CT,41.3931,-73.5076
Bellevue/ 1800 124th Ave NE -K,Bellevue,WA,47.6275,-122.174
Frederick/Broadband & Monocacy,Frederick,MD,39.4415,-77.3816
Scottsdale/East McDowell Rd -K,Scottsdale,AZ,33.4651,-111.896
Camelback & 19th Ave,Phoenix,AZ,33.5106,-112.098
Chandler Blvd & Kyrene,Chandler,AZ,33.3046,-111.958
Phoenix / 40th & McDowell Road,Phoenix,AZ,33.4664,-111.994
Mesa / Main & Gilbert,Mesa,AZ,33.4146,-111.793
Union City / Hwy 880,Hayward,CA,37.607,-122.068
La Habra / Lambert & Harbor,La Habra,CA,33.9249,-117.935
Palo Alto / E Bayshore Road,Palo Alto,CA,37.4527,-122.126
KearnyMesa/805/Balboa &Ruffner,San Diego,CA,32.823,-117.159
S.San Francisco / Meath Dr,South San Francisco,CA,37.6429,-122.464
Mountain View/ Old Middlefield,Mountain View,CA,37.4136,-122.088
Thornton / 104th & Quivas St,Thornton,CO,39.8835,-105.007
Northglenn / 104th & Irma Dr,Northglenn,CO,39.8863,-104.963
Oakland Park,Oakland Park,FL,26.1637,-80.1638
Seminole,Seminole,FL,27.8344,-82.7877
Military Trail,West Palm Beach,FL,26.6654,-80.1136
Blue Heron,West Palm Beach,FL,26.7829,-80.0921
Alsip / 127th St,Alsip,IL,41.6629,-87.7473
Dolton / Dolton Ave / Sibley,Calumet City,IL,41.6348,-87.5752
Lombard / 330 W North Ave,Lombard,IL,41.9056,-88.0264
Rolling Meadows / Rohlwing,Rolling Meadows,IL,42.0998,-88.0256
Schaumburg / Hillcrest Blvd,Schaumburg,IL,42.0621,-88.0842
Bridgeview / S. Harlem Ave,Bridgeview,IL,41.7105,-87.7991
Willowbrook / Joliet Rd / I55,Willowbrook,IL,41.7447,-87.9396
Lisle / Ogden Ave,Lisle,IL,41.7985,-88.0937
Laurel / Cherry Lane,Laurel,MD,39.0891,-76.8562
Crofton / State Route 3 N,Gambrills,MD,39.0261,-76.6876
Lansing / N. Grand River Ave,Lansing,MI,42.7687,-84.5949
Southfield/8Mile-SouthfieldHwy,Southfield,MI,42.446,-83.2341
Troy / Oakland Mall,Troy,MI,42.5473,-83.1149
Walled Lake / Maple Rd - M5,Walled Lake,MI,42.5414,-83.464
Salem / Lancaster,Salem,OR,44.9312,-122.981
Tigard / King City,Tigard,OR,45.4062,-122.794
Portland / SE 82nd Ave-Stark,Portland,OR,45.5141,-122.578
Beaverton/HWY 217 & Denny Rd E,Beaverton,OR,45.469,-122.785
Beaverton / Cornell Rd,Beaverton,OR,45.5338,-122.85
Fairfax/Lee Hwy & Shirley Gate,Fairfax,VA,38.8518,-77.3393
Falls Church/N Roosevelt&Wilsn,Falls Church,VA,38.8743,-77.1517
Manassas / Sudley & Godwin Dr,Manassas,VA,38.7697,-77.4939
Herndon/ Herndon Pkwy & Spring,Herndon,VA,38.9572,-77.3774
Newport News/J Clyde Morris&64,Newport News,VA,37.0801,-76.4598
North Richmond/Staples Mill Rd,Richmond,VA,37.6205,-77.5009
Virginia Beach / Kempsville Rd,Virginia Beach,VA,36.7983,-76.1735
Manassas/Centreville & Breeden,Manassas,VA,38.7653,-77.4559
Vancouver / Vancouver Mall,Vancouver,WA,45.6548,-122.577
White Center,Seattle,WA,47.5209,-122.336
Factoria / Richards Road,Bellevue,WA,47.5833,-122.165
Federal Way/ Pac Hwy /320th St,Federal Way,WA,47.3094,-122.314
Renton/E Valley Rd/ SW 34th St,Renton,WA,47.4477,-122.218
Issaquah / Sammamish Rd,Issaquah,WA,47.5517,-122.063
Lynnwood / 44th,Lynnwood,WA,47.8195,-122.296
Tacoma/S Tacoma Way/ 96th St S,Tacoma,WA,47.1677,-122.477
Arlington / Smokey Point,Arlington,WA,48.1566,-122.189
Shoreline / 145th,Shoreline,WA,47.7367,-122.345
Mt Clemens/GroesbeckHwy-17Mile,Mt Clemens,MI,42.594,-82.8983
Ramsey / Feldspar,Ramsey,MN,45.2219,-93.4396
Apple Valley / 155th St,Apple Valley,MN,44.7252,-93.2126
Brooklyn Park / 73rd Ave,Brooklyn Park,MN,45.0884,-93.3817
Burnsville Parkway W,Burnsville,MN,44.7445,-93.3244
Chanhassen / Hwy 5,Chanhassen,MN,44.862,-93.5566
Coon Rapids / Robinson Dr,Coon Rapids,MN,45.1782,-93.3094
EdenPrairieEast/FlyingCloud Dr,Eden Prairie,MN,44.8853,-93.4088
EdenPrairie West/EdenPrairieRd,Eden Prairie,MN,44.8596,-93.4843
Edina / W 77th St,Edina,MN,44.8627,-93.3354
Hopkins / 11th Ave & 7th St,Hopkins,MN,44.9133,-93.4155
Little Canada / County Road B,Little Canada,MN,45.0069,-93.0991
