PROPERTY_NUM,PROPERTY_NAME,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE
NSA #00967,iStorage | White Rd,11 White Rd,Hewitt,NJ,07421,41.152556,-74.362825
NSA #00453,iStorage | US-9,2464 US-9,Howell Township,NJ,07731,40.178285,-74.246298
NSA #00957,iStorage | US-46,1115 US-46,Ledgewood,NJ,07852,40.879657,-74.647861
NSA #00685,iStorage | S Wade Blvd,418 S Wade Blvd,Millville,NJ,08332,39.385859,-75.019473
NSA #00440,iStorage | Bridgeton Pike,295 Bridgeton Pike,Mullica Hill,NJ,08062,39.709536,-75.205848
NSA #00955,iStorage | Hampton House Rd,106 Hampton House Rd,Newton,NJ,07860,41.092277,-74.730386
NSA #00439,iStorage | Fulling Mill Rd,340 Fulling Mill Rd,Rio Grande,NJ,08242,39.016632,-74.899184
NSA #00454,iStorage | Hurffville Rd,1705 Hurffville Rd,Sewell,NJ,08080,39.794939,-75.097955
NSA #00442,iStorage | Hurffville - Cross Keys Rd,469 Hurffville - Cross Keys Rd,Sewell,NJ,08080,39.737967,-75.071058
NSA #00441,iStorage | S New York Rd,36 S New York Rd,Smithville,NJ,08205,39.487861,-74.457803
NSA #00452,iStorage | Crown Point Rd,1701 Crown Point Rd,West Deptford,NJ,08086,39.852534,-75.16899
NSA #01047,iStorage | Greenwood Lake Turnpike,1867 Greenwood Lake Turnpike,West Milford,NJ,07421,41.143569,-74.347567
NSA #00686,iStorage | Glassboro Rd,1330 Glassboro Rd,Williamstown,NJ,08094,39.694218,-75.044876
NSA #00788,RightSpace Storage | Coors Blvd NW,2559 Coors Blvd NW,Albuquerque,NM,87120,35.111582,-106.703011
NSA #00789,RightSpace Storage | Eubank Blvd NE,4801 Eubank Blvd NE,Albuquerque,NM,87111,35.135266,-106.53493
NSA #00790,RightSpace Storage | Pan American Fwy NE,4620 Pan American Fwy NE,Albuquerque,NM,87109,35.132764,-106.607421
NSA #01136,RightSpace Storage | Aztec Rd NE,3201 Aztec Rd NE,Albuquerque,NM,87107,35.120332,-106.60817
NSA #00787,RightSpace Storage | South Hill,255 South Hill,Bernalillo,NM,87004,35.313389,-106.538609
NSA #01134,RightSpace Storage | South Hill,845 South Hill,Bernalillo,NM,87004,35.301513,-106.540855
NSA #01135,RightSpace Storage | Camino Del Pueblo,213 Camino Del Pueblo,Bernalillo,NM,87004,35.316545,-106.545897
NSA #01197,RightSpace Storage | 3400 W 7th St,3400 W 7th St,Clovis,NM,88101,34.405189,-103.246013
NSA #01196,RightSpace Storage | 5126 N Prince St,5126A Prince St,Clovis,NM,88101,34.453035,-103.197691
NSA #00940,RightSpace Storage | Playa Dr,509 Playa Dr,Clovis,NM,88101,34.433193,-103.200752
NSA #00939,RightSpace Storage |  E Manana Blvd,1104 E Manana Blvd,Clovis,NM,88101,34.427223,-103.192587
NSA #00938,RightSpace Storage | E Llano Estacado Blvd,2121 E Llano Estacado Blvd,Clovis,NM,88101,34.433193,-103.179382
NSA #00937,RightSpace Storage | 2220 Ross St,2220 Ross St,Clovis,NM,88101,34.421451,-103.198163
NSA #00791,RightSpace Storage | Emilio Lopez Rd,801 Emilio Lopez Rd,Los Lunas,NM,87031,34.82166,-106.757
NSA #00779,RightSpace Storage | Avenida de Las Americas,1439 Avenida de Las Americas,Santa Fe,NM,87507,35.646816,-106.002342
NSA #00695,iStorage | Church St,709 Church St,Bayport,NY,11705,40.7638,-73.046442
NSA #01207,iStorage | 73 Horseblock Rd,73 Horseblock Road,Bellport,NY,11713,40.806113,-72.942699
NSA #00978,iStorage | 560 Rte 9W,560 Rte 9W,Glenmont,NY,12077,42.5932,-73.793925
NSA #00490,iStorage | Ballard Rd,295 Ballard Rd,Middletown,NY,10941,41.453624,-74.36003
NSA #00537,iStorage | Waverly Ave,257 Waverly Ave,Patchogue,NY,11772,40.773853,-73.027706
NSA #01031,iStorage | Thatcher St,78 Thatcher St,Selkirk,NY,12158,42.533135,-73.80444
NSA #00216,SecurCare Self Storage | James Jackson Ave,120 James Jackson Ave,Cary,NC,27513,35.796959,-78.801805
NSA #00213,SecurCare Self Storage | E Independence Blvd,8438 E Independence Blvd,Charlotte,NC,28227,35.148988,-80.729237
NSA #00206,SecurCare Self Storage | Sherron Rd,2015 Sherron Rd,Durham,NC,27703,35.950247,-78.835123
NSA #00197,SecurCare Self Storage | NC-55,5311 NC-55,Durham,NC,27713,35.89125,-78.895935
NSA #00198,SecurCare Self Storage | Durham-Chapel Hill Blvd,5502 Durham-Chapel Hill Blvd,Durham,NC,27707,35.953149,-78.995805
NSA #00199,SecurCare Self Storage | Hillsborough Rd,3472 Hillsborough Rd,Durham,NC,27705,36.0239,-78.945905
NSA #00364,SecurCare Self Storage | Bragg Blvd,3520 Bragg Blvd,Fayetteville,NC,28303,35.080021,-78.939962
NSA #00360,SecurCare Self Storage | N Reilly Rd,320 N Reilly Rd,Fayetteville,NC,28303,35.090259,-79.009831
NSA #00361,SecurCare Self Storage | George Owen Rd,2655 George Owen Rd,Fayetteville,NC,28306,34.99496,-78.966032
NSA #00362,SecurCare Self Storage | Bragg Blvd,3800 Bragg Blvd,Fayetteville,NC,28303,35.081235,-78.942083
NSA #00363,SecurCare Self Storage | Skibo Rd,1939 Skibo Rd,Fayetteville,NC,28314,35.064491,-78.966518
NSA #00366,SecurCare Self Storage | McArthur Rd,526 McArthur Rd,Fayetteville,NC,28311,35.124071,-78.884926
NSA #00367,SecurCare Self Storage | Rim Rd,1057 Rim Rd,Fayetteville,NC,28314,35.060224,-79.049089
NSA #01099,SecurCare Self Storage | Raeford Rd,5517 Raeford Rd,Fayetteville,NC,28304,35.04359,-78.976587
NSA #00211,SecurCare Self Storage | Indian Trail Rd W,4919 Unionville - Indian Trail Rd W,Indian Trail,NC,28079,35.075605,-80.648473
NSA #00212,SecurCare Self Storage | Matthews-Mint Hill Rd,720 Matthews-Mint Hill Rd,Matthews,NC,28105,35.117244,-80.710873
NSA #00205,SecurCare Self Storage | Morrisville Pkwy,900 Morrisville Pkwy,Morrisville,NC,27560,35.810885,-78.818355
NSA #00214,SecurCare Self Storage | Highland St,540 Highland St,Mount Holly,NC,28120,35.290603,-81.015895
NSA #00217,SecurCare Self Storage | Sinclair Dr,5201 Sinclair Dr,Raleigh,NC,27616,35.861936,-78.550824
NSA #00201,SecurCare Self Storage | Glenwood Ave,7012 Glenwood Ave,Raleigh,NC,27612,35.864859,-78.714007
NSA #00200,SecurCare Self Storage | Beryl Rd,4615 Beryl Rd,Raleigh,NC,27606,35.794484,-78.703499
NSA #00365,SecurCare Self Storage | Hillsborough St,6501 Hillsborough St,Raleigh,NC,27606,35.787685,-78.740492
NSA #00193,SecurCare Self Storage | Oleander Dr,5319 Oleander Dr,Wilmington,NC,28403,34.209408,-77.861829
NSA #01128,SecurCare Self Storage | Troy Dr,2540 Troy Dr,Wilmington,NC,28401,34.192188,-77.92864
NSA #01127,SecurCare Self Storage | 809 Shipyard Blvd,809 Shipyard Blvd,Wilmington,NC,28412,34.192188,-77.92864
NSA #00194,SecurCare Self Storage | Carolina Beach Rd,6020 Carolina Beach Rd,Wilmington,NC,28412,34.12092,-77.903042
NSA #00368,SecurCare Self Storage | Market St,6837 Market St,Wilmington,NC,28405,34.261654,-77.832127
NSA #00195,SecurCare Self Storage | Carolina Beach Rd,4851 Carolina Beach Rd,Wilmington,NC,28412,34.153099,-77.904068
NSA #00196,SecurCare Self Storage | S Kerr Ave,110 S Kerr Ave,Wilmington,NC,28403,34.23772,-77.890854
